,date,time,type,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
64,"Feb 25, 201",9 1:35:20 AM PST,Adjustment,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,3.43
65,"Feb 25, 201",9 1:35:20 AM PST,Adjustment,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - Damaged:Warehouse,1.0,,,,0.0,-0.0,-0.0,3.43
66,"Feb 25, 201",9 4:24:28 AM PST,Adjustment,MOL-281000,MOL-281000,FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,6.67
67,"Feb 26, 201",9 3:11:06 AM PST,Adjustment,MOL-281000,MOL-281000,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,0.0,-0.0,-0.0,6.67
68,"Feb 26, 201",9 3:27:51 AM PST,Adjustment,3MM-2862(X2),3MM-2862(2),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,4.36
69,02-Mar-19,3:34:04 AM PST,Adjustment,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,0.0,-0.0,-0.0,10.32
70,02-Mar-19,3:34:04 AM PST,Adjustment,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Lost:Warehouse,2.0,,,,0.0,-0.0,-0.0,20.64
71,02-Mar-19,3:34:04 AM PST,Adjustment,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Lost:Warehouse,2.0,,,,0.0,-0.0,-0.0,20.64
72,02-Mar-19,3:34:04 AM PST,Adjustment,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,0.0,-0.0,-0.0,10.32
73,02-Mar-19,3:34:04 AM PST,Adjustment,MOL-295300,MOL-295300,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,0.0,-0.0,-0.0,10.32
74,02-Mar-19,7:34:27 PM PST,Adjustment,3MM-R1546,3MM-R1546(50),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,13.28
75,03-Mar-19,1:34:19 AM PST,Adjustment,3MM-2862(X2),3MM-2862(2),FBA Inventory Reimbursement - Customer Return,1.0,,,,0.0,-0.0,-0.0,4.36
76,03-Mar-19,5:27:26 AM PST,Adjustment,MOL-281200,MOL-281200-1,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,0.0,-0.0,-0.0,7.15
77,03-Mar-19,5:27:26 AM PST,Adjustment,MOL-281200,MOL-281200-1,FBA Inventory Reimbursement - Lost:Warehouse,1.0,,,,0.0,-0.0,-0.0,7.15
78,03-Mar-19,7:30:11 AM PST,Adjustment,3MM-R1542(5),3MM-R1542 (5),FBA Inventory Reimbursement - Lost:Inbound,30.0,,,,0.0,-0.0,-0.0,31.5
79,03-Mar-19,7:30:11 AM PST,Adjustment,3MM-R1540(10),3MM-R1540 (10),FBA Inventory Reimbursement - Lost:Inbound,1.0,,,,0.0,-0.0,-0.0,1.71
80,03-Mar-19,9:25:40 AM PST,Adjustment,MDL-NON80328,MDL-NON80328,FBA Inventory Reimbursement - General Adjustment,1.0,,,,0.0,-0.0,-0.0,3.43
81,04-Mar-19,9:52:25 AM PST,Adjustment,3MM-2863(X2),3MM-2863(2),FBA Inventory Reimbursement - Lost:Inbound,1.0,,,,0.0,-0.0,-0.0,4.72
