,date,time,type,order id,group-sku,sku,description,quantity,order city,order state,order postal,product sales,selling fees,fba fees,landing cost
97,2019-08-08,1:12:56 AM PDT,FBA Inventory Fee,,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
98,2019-08-09,11:46:23 AM PDT,FBA Inventory Fee,,,NAN,FBA Amazon-Partnered Carrier Shipment Fee,,,,,0.0,-0.0,-0.0,
99,2019-08-12,7:20:18 AM PDT,FBA Inventory Fee,19080912GO,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
100,2019-08-12,7:20:18 AM PDT,FBA Inventory Fee,19080912GO,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
101,2019-08-12,4:35:30 PM PDT,FBA Inventory Fee,vj85kN8821,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
102,2019-08-12,4:35:30 PM PDT,FBA Inventory Fee,vj85kN8821,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
103,2019-08-12,4:35:33 PM PDT,FBA Inventory Fee,vj85kN8821,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
104,2019-08-26,12:06:39 PM PDT,FBA Inventory Fee,vj8l0mt545,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
105,2019-08-26,12:07:20 PM PDT,FBA Inventory Fee,vj8l0mt545,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
106,2019-08-28,6:50:56 PM PDT,FBA Inventory Fee,19082613ZK,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
107,2019-09-09,2:30:32 PM PDT,FBA Inventory Fee,,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
108,2019-09-10,4:34:56 PM PDT,FBA Inventory Fee,vj960DT677,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
109,2019-09-18,1:23:08 PM PDT,FBA Inventory Fee,,,NAN,FBA Amazon-Partnered Carrier Shipment Fee,,,,,0.0,-0.0,-0.0,
110,2019-09-27,9:12:37 PM PDT,FBA Inventory Fee,vj9l1xS681,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
111,2019-09-27,9:12:52 PM PDT,FBA Inventory Fee,vj9l1xS681,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
112,2019-10-07,3:27:24 AM PDT,FBA Inventory Fee,,,NAN,FBA Inventory Storage Fee,,,,,0.0,-0.0,-0.0,
113,2019-10-10,1:20:36 AM PDT,FBA Inventory Fee,191002LIC,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
114,2019-10-14,10:20:01 PM PDT,FBA Inventory Fee,vja61zF658,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
115,2019-10-14,10:20:23 PM PDT,FBA Inventory Fee,vja61zF658,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
116,2019-11-03,12:50:48 AM PDT,FBA Inventory Fee,vjam4XE683,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
117,2019-11-03,12:50:48 AM PDT,FBA Inventory Fee,vjam4XE683,,NAN,FBA Removal Order: Return Fee,,,,,0.0,-0.0,-0.0,
