"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","sales tax collected","selling fees","fba fees","other transaction fees","other","total"
"2018-01-09 6:51:18 AM PST","6546166651","Order","702-5750129-7701812","OLA-HP3","OLAPLEX Hair Perfector No-3 Repairing Treatment, 3.3-Ounce","1","amazon.ca","Amazon","Airdrie","Alberta","T4B 0S9","31.99","4.45","0","0","1.82","-4.80","-10.55","-0.05","0","22.86"
"2018-01-09 9:51:32 AM PST","6546166651","Order","701-6008338-0848218","LUX-NEO320B","Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va","1","amazon.ca","Amazon","Vancouver","British Columbia","V5L3L7","69.95","0","0","0","3.50","-8.39","-7.23","-0.10","0","57.73"
"2018-01-09 9:52:21 AM PST","6546166651","Order","702-1593920-6163416","LUX-NEO320B","Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va","1","amazon.ca","Amazon","Warman","Saskatchewan","S0K 4S1","69.95","3.99","0","0","3.70","-8.39","-11.74","-0.11","0","57.40"
"2018-01-09 10:49:56 AM PST","6546166651","Order","702-5413916-2653844","OLA-HP3","OLAPLEX Hair Perfector No-3 Repairing Treatment, 3.3-Ounce","1","amazon.ca","Amazon","Toronto","Ontario","M6H 1Z8","34.15","0","0","0","4.44","-5.12","-5.88","-0.13","0","27.46"
"2018-01-09 12:33:14 PM PST","6546166651","Order","702-3308154-0799431","LUX-NEO320B","Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va","1","amazon.ca","Amazon","Brandon","Manitoba","R7A 5T1","69.95","13.67","0","0","4.18","-8.39","-22.68","-0.12","0","56.61"
"2018-01-09 1:31:04 PM PST","6546166651","Order","701-9411114-1017066","ETL-02578","Eltamd UV Physical SPF 41, 85-Gram","1","amazon.ca","Amazon","Kitchener","Ontario","N2P 1E9","40.00","4.36","0","0","5.77","-6.00","-11.26","-0.17","0","32.70"
"2018-01-09 1:54:50 PM PST","6546166651","Order","702-9847668-2808249","LUX-1516","Luxe Metal T-adapter with Shut-off Valve, 3-way Tee Connector, Chrome Finish, for Luxe Neo Bidets","1","amazon.ca","Amazon","Rockland","Ontario","K4K 0C8","14.94","0","0","0","1.94","-2.24","-6.33","-0.06","0","8.25"
"2018-01-09 2:53:00 PM PST","6546166651","Order","701-5376361-2456266","LUX-NEO320B","Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va","1","amazon.ca","Amazon","Ragueneau","QC","G0H 1S0","69.94","3.92","0","-3.92","3.50","-16.78","-5.20","-0.20","0","51.26"
"2018-01-09 2:53:00 PM PST","6546166651","Order","701-5376361-2456266","LUX-NEO320B","Luxe Bidet Neo 320 (Elite Series) - Self Cleaning Dual Nozzle - Hot and Cold Water Non-Electric Mechanical Bidet Toilet Attachment w/ Strong Faucet Va","1","amazon.ca","Amazon","Ragueneau","QC","G0H 1S0","69.94","3.93","0","-3.93","3.50","0","-5.20","0","0","68.24"
"2018-01-09 3:48:50 PM PST","6546166651","Order","701-4778699-1526648","LUX-1516","Luxe Metal T-adapter with Shut-off Valve, 3-way Tee Connector, Chrome Finish, for Luxe Neo Bidets","1","amazon.ca","Amazon","Calgary","AB","T2W 1C3","14.94","0","0","0","0.75","-2.24","-6.33","-0.02","0","7.10"
"2018-01-09 3:52:12 PM PST","6546166651","Order","701-7955943-6149052","MDL-NON80328","Medline NON80328 Emesis Bags, Blue, 24 Count","1","amazon.ca","Amazon","East St Paul","MB","R2E1J6","18.60","0","0","0","0.93","-2.23","-17.91","-0.03","0","-0.64"
"2018-01-09 5:32:27 PM PST","6546166651","Order","701-6226984-3066639","LUX-1516","Luxe Metal T-adapter with Shut-off Valve, 3-way Tee Connector, Chrome Finish, for Luxe Neo Bidets","1","amazon.ca","Amazon","Toronto","Ontario","M6J 2W7","14.94","3.26","0","-3.26","1.94","-2.24","-6.33","-0.06","0","8.25"
"2018-01-09 6:52:46 PM PST","6546166651","Order","701-3586302-4397846","LUX-NEO110B","Luxe Bidet Neo 110 - Fresh Water Non-Electric Mechanical Bidet Toilet Seat Attachment (blue and white)","1","amazon.ca","Amazon","Winnipeg","Manitoba","R3Y 1G1","33.93","6.44","0","0","2.02","-4.07","-14.51","-0.06","0","23.75"
