,sku,Total-Quantity-Sold,Total-Product-Revenue,Total-Selling-Fee,Total-Fba-Fees,Total-Landing-Costs,Total-Product-Profit,Return on Sales,Profit Per Quantity Sold
60,3MM-R1540 (10),159.0,858.2999999999988,159.0,335.54000000000036,271.8900000000002,91.8699999999983,0.5777987421383541,0.5777987421383541
61,3MM-R1540(10),100.0,532.4900000000001,42.580000000000055,183.88999999999993,170.99999999999997,135.0200000000002,1.350200000000002,1.350200000000002
62,3MM-R1541(20),101.0,766.2699999999994,65.08999999999999,182.38999999999993,343.39999999999975,175.38999999999976,1.736534653465344,1.736534653465344
63,3MM-R1541+R1547(10 PACK/5 EACH),239.0,1630.020000000002,147.8900000000002,452.48000000000235,523.4099999999996,506.2399999999998,2.118158995815899,2.118158995815899
64,3MM-R1542 (5),28.0,131.58999999999997,11.260000000000003,51.56000000000003,29.400000000000013,39.36999999999992,1.4060714285714258,1.4060714285714258
65,3MM-R1546 (5),360.0,1940.760000000004,283.17,640.1700000000044,478.79999999999865,538.620000000001,1.4961666666666695,1.4961666666666695
66,3MM-R1546(50),80.0,2016.8100000000002,300.24,290.1699999999997,1062.3999999999985,364.00000000000205,4.550000000000026,4.550000000000026
67,3MM-R1546(B),334.0,7756.049999999957,1163.2300000000007,1161.910000000007,4435.520000000017,995.389999999933,2.980209580838123,2.980209580838123
68,3MM-R1547(10),3287.0,20584.43000000035,1754.1000000000295,6336.510000000082,8776.290000000196,3717.5300000000425,1.13097961667175,1.13097961667175
69,3MM-R1547(50 PACK),236.0,6136.240000000003,920.2299999999988,785.0399999999988,3155.3199999999933,1275.6500000000124,5.405296610169544,5.405296610169544
70,3MM-R1547(A),116.0,2851.6499999999974,427.76000000000016,594.8299999999994,1550.919999999997,278.1400000000008,2.397758620689662,2.397758620689662
71,3MM-R1547(B),72.0,1847.69,221.75,264.2,962.6400000000002,399.0999999999999,5.543055555555554,5.543055555555554
72,3MM-R1548 (5),60.0,353.07,42.75,88.19999999999999,160.80000000000007,61.319999999999936,1.021999999999999,1.021999999999999
73,3MM-SLT-1(X2),150.0,1790.4000000000035,269.0999999999997,297.95000000000044,879.0000000000015,344.35000000000196,2.29566666666668,2.29566666666668
74,3MM-SLT-1(X4),104.0,2448.179999999999,367.32,364.39999999999986,1218.8800000000022,497.57999999999697,4.784423076923048,4.784423076923048
75,BEU-0283-0293-31(X2),48.0,946.4000000000004,113.49999999999999,182.35999999999993,212.64000000000016,437.9000000000004,9.122916666666674,9.122916666666674
