date,order id,country,order city,order state,item,quantity,revenue,total cost,profit,return on sales
02-01-2019,114-6311694-9722632,USA,AMERY,WI,3MM-2862(3),1,10.8,11.03,-0.23,-0.021296296
02-01-2019,114-1344941-2189869,USA,SOUTH SAN FRANCISCO,CA,3MM-1626W(10),1,6.5,11.36,-4.86,-0.747692308
02-01-2019,114-4537047-8637843,USA,BELMONT,CA,MCR-1577,1,44.88,38.02,6.86,0.15285205
02-01-2019,113-2745886-9203406,USA,SCOTTSDALE,AZ,3MM-1626W(10),3,19.5,16.11,3.39,0.173846154
02-01-2019,113-8353632-6185800,USA,REDWOOD CITY,CA,3MM-2113,1,80,75.25,4.75,0.059375
02-01-2019,111-7275181-1725808,USA,LANCASTER,CA,3MM-2862(3),1,10.8,11.03,-0.23,-0.021296296
02-01-2019,113-5001261-2328209,USA,Bethlehem,PA,CON-187660,1,13.09,12.35,0.74,0.056531704
02-01-2019,114-6516627-3335402,USA,PORTLAND,OR,3MM-1626W-25 PACK,1,10.35,3.96,6.39,0.617391304
02-01-2019,114-0457343-4797049,USA,YARDVILLE,NJ,3MM-2862(2),2,19.58,17.44,2.14,0.109295199
02-01-2019,112-5477353-4424209,USA,NEW YORK,NY,3MM-1527-2,1,12.75,10.92,1.83,0.143529412
02-01-2019,114-9137543-7373810,USA,Superior,WI,MOL-1443-1,1,20.14,16.83,3.31,0.164349553
02-01-2019,111-1009311-4996227,USA,Pasadena,CA,3MM-1527-2,1,12.78,10.93,1.85,0.144757433
02-01-2019,111-3975452-3902665,USA,Fort Wayne,IN,3MM-1626W(DOUBLE PACK-2),1,36.5,29.83,6.67,0.182739726
02-01-2019,114-3354013-0881010,USA,TAMAQUA,PA,3MM-1539,1,16.84,13.97,2.87,0.170427553
02-01-2019,112-3187265-0353850,USA,Cambridge,MA,3MM-1539(20),1,20.51,17.27,3.24,0.157971721
02-01-2019,111-0310181-0554620,USA,LAKE ORION,MI,3MM-R1547(50 PACK),2,54.06,41.22,12.84,0.237513873
02-01-2019,111-1154934-7128214,USA,Shrewsbury,MA,3MM-2113R,1,74.99,64.67,10.32,0.137618349
02-01-2019,114-3918451-8884209,USA,CREVE COEUR,IL,3MM-2862(2),1,9.79,8.72,1.07,0.109295199
02-01-2019,111-8245118-8357845,USA,TRAIL CREEK,IN,3MM-2862(3),1,10.79,11.02,-0.23,-0.021316033
02-01-2019,111-6211086-6247450,USA,POTTSTOWN,PA,MOL-281000,1,14.69,12.06,2.63,0.179033356
02-01-2019,113-6707403-2521019,USA,CANAAN,ME,MOL-1434,1,27.98,15.08,12.9,0.461043603
02-01-2019,114-8232189-6550615,USA,FREDERICKSBURG,TX,3MM-2862(3),1,10.8,11.03,-0.23,-0.021296296
02-01-2019,113-0559125-5250665,USA,OAK BROOK,IL,WEL-52432-U,1,33.5,29.24,4.26,0.127164179
02-01-2019,114-6131801-9395430,USA,Boynton Beach,FL,3MM-1626W(10),1,6.5,5.37,1.13,0.173846154
02-01-2019,112-5608377-7780236,USA,SUN CITY CENTER,FL,3MM-2862(3),2,21.6,22.06,-0.46,-0.021296296
02-01-2019,111-1702326-4661827,USA,SOUTH PASADENA,CA,MOL-281000,1,14.69,12.06,2.63,0.179033356
02-01-2019,114-1674566-5016243,USA,los angeles,CA,3MM-2560(50),1,7.75,11.41,-3.66,-0.472258065
02-01-2019,113-9053871-3318609,USA,Miami,FL,3MM-B1551,1,36.28,17.73,18.55,0.511300992
02-01-2019,112-2369316-9545812,USA,O FALLON,MO,MOL-1451,1,20.01,18,2.01,0.100449775
02-01-2019,113-1491176-2470652,USA,LOS ANGELES,CA,3MM-2862(3),1,10.79,11.02,-0.23,-0.021316033
02-01-2019,112-1107029-9622601,USA,BLOOMFIELD HILLS,MI,3MM-2113R,1,74.99,64.67,10.32,0.137618349
02-01-2019,112-1970345-9991401,USA,SHAKER HEIGHTS,OH,MDL-NON80328,1,7.7,7.62,0.08,0.01038961
02-01-2019,112-1759568-8071457,USA,BIRDSBORO,PA,MCR-1577,1,44.88,38.02,6.86,0.15285205
02-01-2019,111-1960484-3234628,USA,SUFFOLK,VA,3MM-1626W-25 PACK,1,10.35,3.96,6.39,0.617391304
02-01-2019,113-5967037-5903433,USA,LENEXA,KS,MDL-NON80328,1,7.7,7.62,0.08,0.01038961
02-01-2019,112-5800566-3004263,USA,MONROVIA,CA,3MM-2862(3),1,10.79,11.02,-0.23,-0.021316033
02-01-2019,114-4654965-0722648,USA,LONGWOOD,FL,3MM-2560(50),1,7.75,7.42,0.33,0.042580645
02-01-2019,112-9708539-1837809,USA,Miami,FL,3MM-2862(3),1,10.8,11.03,-0.23,-0.021296296
02-01-2019,112-3424006-4302626,USA,GOLDSBORO,NC,MOL-1443-1,1,20.14,23.5,-3.36,-0.166832175
02-01-2019,113-0966557-3718635,USA,WINDERMERE,FL,3MM-1626W(10),1,6.5,11.36,-4.86,-0.747692308
02-01-2019,111-7223278-5281863,USA,ELDORADO,WI,MOL-281200-1,2,29.6,25.12,4.48,0.151351351
02-01-2019,113-1864947-4615403,USA,JEFFERSON CITY,TN,3MM-1527-2,1,12.82,10.93,1.89,0.147425897
02-01-2019,111-8356794-2662646,USA,HOUSTON,TX,MCR-1577,1,44.88,38.62,6.26,0.139483066
02-01-2019,112-7844264-3681836,USA,Bergenfield,NJ,MOL-1434,1,27.98,15.08,12.9,0.461043603
02-01-2019,111-8521182-3513868,USA,NORTH LAS VEGAS,NV,3MM-2560(100),2,27.4,22.58,4.82,0.175912409
02-01-2019,113-4988033-9912240,USA,MENIFEE,CA,3MM-2863(2),1,10.4,9.16,1.24,0.119230769
02-01-2019,114-0101642-8769070,USA,IRVINGTON,KY,3MM-2862(2),1,9.79,8.72,1.07,0.109295199
02-01-2019,112-8408048-2517816,USA,PHILADELPHIA,PA,MOL-281000,2,29.38,24.12,5.26,0.179033356
02-01-2019,114-7927697-8285053,USA,WILDOMAR,CA,3MM-1626W(10),1,6.5,5.37,1.13,0.173846154
02-01-2019,111-2159841-5953012,USA,Walled Lake,MI,3MM-2862(3),1,10.8,11.03,-0.23,-0.021296296
02-01-2019,114-6989206-1241046,USA,NEW YORK,NY,3MM-2862(3),1,10.79,11.02,-0.23,-0.021316033
02-01-2019,111-4701131-8434652,USA,Beaver,PA,3MM-2560(100),1,13.7,11.29,2.41,0.175912409
02-01-2019,114-6688605-8348252,USA,PLANO,TX,3MM-1539,1,16.84,13.97,2.87,0.170427553
02-01-2019,112-1792183-0965055,USA,SUMMIT,MS,3MM-1626W,1,17.95,15.7,2.25,0.125348189
02-01-2019,114-7860870-1513064,USA,CHESTER,VA,MOL-1434,1,27.98,15.08,12.9,0.461043603
02-01-2019,113-4143039-8071454,USA,HANOVER TOWNSHIP,PA,3MM-2862(3),1,10.8,11.03,-0.23,-0.021296296
02-01-2019,111-8648779-6052258,USA,NEW YORK,NY,HOLL-14104,2,47,46.96,0.04,0.000851064
