date,order id,item,country,order city,order state,quantity,revenue,total cost,profit
02-01-2019,113-2514442-9108265,3MM-1626W,,Coram,NY,1,17.95,15.7,2.25
02-01-2019,114-3943556-0355450,3MM-1527-2,,COOPERSVILLE,MI,1,12.79,10.93,1.86
02-01-2019,113-6083800-5799426,3MM-1539,,The Woodlands,TX,1,16.84,13.97,2.87
02-01-2019,113-4980534-1353830,3MM-1539,,COLUMBUS,OH,1,16.84,13.97,2.87
02-01-2019,114-0767248-9096268,MDL-NON80328,,ANDOVER,MA,1,8.03,14.61,-6.58
02-01-2019,114-0767248-9096268,MDL-NON80328,,ANDOVER,MA,1,8.03,6.62,1.41
02-01-2019,113-6728088-4898646,3MM-2863(2),,WARREN,MI,2,20.8,18.32,2.48
02-01-2019,111-1003785-9217840,3MM-1626W(10),,PHILADELPHIA,PA,1,6.5,5.37,1.13
02-01-2019,114-4734951-9492237,3MM-2862(3),,COLUMBIA,MD,1,10.8,11.03,-0.23
02-01-2019,111-1503968-9072212,SOT-166130,,MARBLEHEAD,MA,1,78.15,65.8,12.35
02-01-2019,111-4396642-1212208,3MM-1626W(10),,ABERDEEN,WA,1,6.5,5.37,1.13
02-01-2019,113-2477626-6005866,MOL-281000,,Irvine,CA,2,29.36,24.12,5.24
02-01-2019,114-8590603-9930624,MCR-1577,,ZEBULON,NC,1,44.88,38.02,6.86
02-01-2019,111-8145859-2585053,SOT-154131,,River Grove,IL,1,19,17.24,1.76
02-01-2019,114-4581570-1510639,3MM-1626W(10),,MARBURY,MD,3,19.5,16.11,3.39
02-01-2019,112-0994147-3757853,3MM-1626W(DOUBLE PACK-2),,Staten Island,NY,1,36.5,29.83,6.67
02-01-2019,113-8421708-9684266,MDL-NON80328,,KANSAS CITY,MO,1,9.99,7.82,2.17
02-01-2019,114-8672682-2899435,3MM-1539,,INDIANAPOLIS,IN,1,16.84,13.97,2.87
02-01-2019,112-0077897-7728266,3MM-1626W-25 PACK,,DETROIT,MI,1,10.35,3.96,6.39
02-01-2019,112-0053288-9770612,MOL-1434,,INDIANAPOLIS,IN,1,27.98,15.08,12.9
02-01-2019,111-9534385-2737058,3MM-1527-2,,FLORENCE,MS,1,12.65,10.91,1.74
02-01-2019,113-4195178-2066637,3MM-2862(3),,Greenfield,IN,1,10.79,11.02,-0.23
02-01-2019,113-4550431-8475414,3MM-1626W(10),,BERTHOUD,CO,1,6.5,5.37,1.13
02-01-2019,113-3633575-8262653,3MM-2863(2),,WOODSTOCK,GA,2,20.8,18.32,2.48
02-01-2019,114-0331941-3967463,MDL-NON80328,,BADEN,PA,1,7.7,7.62,0.08
02-01-2019,114-3515718-4005027,MOL-281000,,TRENTON,NJ,1,14.69,12.06,2.63
02-01-2019,113-8714242-7071413,3MM-1626W,,COLUMBIA,TN,4,71.8,62.8,9
02-01-2019,113-8678929-4113840,3MM-R1547(50 PACK),,Beverly Hills,CA,4,108.12,82.44,25.68
02-01-2019,113-4235400-0686620,3MM-1626W(10),,SAINT PAUL,MN,1,6.5,5.37,1.13
