,sku,Total-Quantity-Sold,Total-Product-Revenue,Total-Selling-Fee,Total-Fba-Fees,Total-Landing-Costs,Total-Cost,Total-Product-Profit,Return on Sales,Total Return= ROS - Operating Cost (10%),Profit Per Quantity Sold,"1: R.O.S>=15%, 0: else"
113,MDL-MSC092625H,47,314.04,37.75,95.91,130.66,264.32,49.72,1.05787234,-8.94212766,1.05787234,0
114,MDL-MSC092915H(X3),73,702.99,84.68,138.81,310.98,534.47,168.52,2.308493151,-7.691506849,2.308493151,0
115,MDL-MSC094109H(X3),16,392.72,58.89,92.12,177.6,328.61,64.11,4.006875,-5.993125,4.006875,0
116,MDL-MSC094308,49,550.82,66.11,127.36,199.92,393.39,157.43,3.212857143,-6.787142857,3.212857143,0
117,MDL-MSC094420,346,8120.02,974.34,1868.45,3698.74,6541.53,1578.49,4.562109827,-5.4378901729999995,4.562109827,0
118,MDL-MSC094420(X2),18,900.02,108.02,108.36,384.84,601.22,298.8,16.6,6.6,16.6,1
119,MDL-MSC094424 (3),1,20.87,2.5,4.76,9.54,16.8,4.07,4.07,-5.93,4.07,0
120,MDL-MSC094424(X2),34,318.73,25.42,117.51,216.24,359.17,-40.44,-1.189411765,-11.18941176,-1.189411765,0
121,MDL-MSC094424(X3),124,2725.52,327.36,618.76,1182.96,2129.08,596.44,4.81,-5.19,4.81,0
122,MDL-MSC094514(X12),6,352.15,42.26,40.68,230.4,313.34,38.81,6.4683333329999995,-3.531666667,6.4683333329999995,0
123,MDL-MSC094544(B),1,6.92,0.83,3.19,3.59,7.61,-0.69,-0.69,-10.69,-0.69,0
124,MDL-MSC094544(X3),100,2238.44,335.59,503.22,1077.0,1915.81,322.63,3.2263,-6.7737,3.2263,0
125,MDL-MSC094604,103,962.09,86.53,237.03,525.3,848.86,113.23,1.099320388,-8.900679612000001,1.099320388,0
126,MDL-MSC094604H(X3),31,820.57,123.02,169.7,474.3,767.02,53.55,1.727419355,-8.272580645,1.727419355,0
127,MDL-MSC094853UNSC,36,311.8,37.49,70.75,125.64,233.88,77.92,2.164444444,-7.835555556,2.164444444,0
128,MDL-NON80328,3654,36097.31,4342.68,15360.6,12533.22,32236.5,3860.81,1.056598248,-8.943401752,1.056598248,0
129,MOL-1434,214,3927.7,589.4,1029.98,1645.66,3265.04,662.66,3.096542056,-6.9034579439999995,3.096542056,0
130,MOL-1434(B),168,3410.36,409.28,841.43,1291.92,2542.63,867.73,5.165059524,-4.834940476,5.165059524,0
131,MOL-1437(A),282,4941.35,649.63,1452.53,1974.0,4076.16,865.19,3.068049645,-6.931950355,3.068049645,0
132,MOL-1437-1,121,2562.36,384.59,632.19,847.0,1863.78,698.58,5.77338843,-4.22661157,5.77338843,0
133,MOL-1438,2,40.17,4.82,9.52,18.46,32.8,7.37,3.685,-6.315,3.685,0
134,MOL-1438(B),32,644.51,77.32,168.33,295.36,541.01,103.5,3.234375,-6.765625,3.234375,0
135,MOL-1439,32,682.81,81.93,164.89,385.6,632.42,50.39,1.5746875,-8.4253125,1.5746875,0
136,MOL-1443,102,1586.19,190.29,534.1,989.4,1713.79,-127.6,-1.250980392,-11.25098039,-1.250980392,0
137,MOL-1443-1,133,2589.25,310.85,721.72,1290.1,2322.67,266.58,2.0043609019999997,-7.995639098,2.0043609019999997,0
138,MOL-1448,27,537.24,64.48,146.59,325.35,536.42,0.82,0.03037037,-9.96962963,0.03037037,0
139,MOL-1451,97,2013.77,241.65,497.33,1056.33,1795.31,218.46,2.2521649480000003,-7.747835052,2.2521649480000003,0
140,MOL-281000,766,10293.95,1537.56,2090.17,5109.22,8736.95,1557.0,2.032637076,-7.967362924,2.032637076,0
141,MOL-281100,5,70.37,8.44,11.62,35.75,55.81,14.56,2.912,-7.087999999999999,2.912,0
142,MOL-281100(B),2,22.74,2.73,6.38,14.3,23.41,-0.67,-0.335,-10.335,-0.335,0
143,MOL-281200-1,113,1567.12,235.23,355.44,807.95,1398.62,168.5,1.491150442,-8.508849558,1.491150442,0
144,MOL-281300,59,1239.34,185.91,203.82,526.87,916.6,322.74,5.470169492,-4.529830508,5.470169492,0
145,MOL-295200,305,3965.0,594.75,514.91,2177.7,3287.36,677.64,2.221770492,-7.778229508,2.221770492,0
146,MOL-295300,254,4583.06,686.26,665.07,2621.28,3972.61,610.45,2.403346457,-7.5966535429999995,2.403346457,0
147,MOL-295400,200,5573.99,836.18,655.56,3274.0,4765.74,808.25,4.04125,-5.95875,4.04125,0
148,MOL-295600,104,4326.94,648.81,366.33,3022.24,4037.38,289.56,2.7842307689999997,-7.215769231,2.7842307689999997,0
149,MOL-670900(B),3,81.0,12.16,9.84,18.03,40.03,40.97,13.65666667,3.656666667,13.65666667,0
150,OMR-HEM-90XL,5,3468.0,520.2,30.1,1875.0,2425.3,1042.7,208.54,198.54,208.54,1
151,PRK-12-02(A),1001,3998.1,364.63,1847.94,1061.06,3273.63,724.47,0.723746254,-9.276253746,0.723746254,0
152,PRK-12-02(X2),365,1994.66,160.31,860.93,773.8,1795.04,199.62,0.54690411,-9.45309589,0.54690411,0
153,S&N-66000040,30,428.74,64.37,69.3,240.9,374.57,54.17,1.805666667,-8.194333333,1.805666667,0
154,S&N-66000041,150,3075.19,461.3,536.82,0.0,998.12,2077.07,13.84713333,3.847133333,13.84713333,0
155,S&N-66000317,40,326.62,26.09,69.0,98.4,193.49,133.13,3.32825,-6.67175,3.32825,0
156,S&N-66000318,31,369.83,55.49,55.29,99.2,209.98,159.85,5.156451613,-4.843548387,5.156451613,0
157,S&N-66000319,19,331.48,49.73,63.38,88.73,201.84,129.64,6.823157895,-3.176842105,6.823157895,0
158,S&N-66250706,38,772.29,115.86,97.78,493.62,707.26,65.03,1.7113157890000001,-8.288684211,1.7113157890000001,0
159,S&N-66250706(B),25,498.8,74.83,60.25,324.75,459.83,38.97,1.5588,-8.4412,1.5588,0
160,S&N-66800269,68,1413.21,169.6,238.97,722.16,1130.73,282.48,4.154117647,-5.8458823529999995,4.154117647,0
161,S&N-66800270,60,1881.31,282.29,198.53,811.8,1292.62,588.69,9.8115,-0.1885,9.8115,0
162,S&N-66800272,19,650.24,97.52,62.14,374.49,534.15,116.09,6.11,-3.89,6.11,0
163,S&N-66801068,48,1698.45,254.72,175.13,1141.44,1571.29,127.16,2.649166667,-7.350833333,2.649166667,0
164,SOT-132126,1,36.75,5.51,3.19,21.37,30.07,6.68,6.68,-3.32,6.68,0
165,SOT-140172,1,37.73,5.66,3.19,23.41,32.26,5.47,5.47,-4.53,5.47,0
166,SOT-140174,40,1798.8,270.0,139.55,936.4,1345.95,452.85,11.32125,1.32125,11.32125,0
