date,type,order id,sku,quantity,product sales
03-Jan-19,Order,113-1545500-5767413,MDL-NON80328,1,8.03
03-Jan-19,Order,114-8465707-4804258,3MM-2862(3),1,10.79
03-Jan-19,Order,114-1598160-9650646,3MM-2862(3),2,21.58
03-Jan-19,Order,114-1598160-9650646,3MM-2862(3),4,43.16
03-Jan-19,Order,111-0947072-6435447,3MM-1527-2,1,12.64
03-Jan-19,Order,113-7325340-9850630,3MM-2862(3),1,10.79
03-Jan-19,Order,112-8174938-6398651,3MM-2560(100),10,137
03-Jan-19,Order,111-7760379-2132226,3MM-2862(3),1,10.79
03-Jan-19,Order,112-0822242-1341846,MOL-281000,1,14
03-Jan-19,Order,111-1254642-7393049,3MM-1626W(10),1,6.5
03-Jan-19,Order,112-6315466-4084224,3MM-1527-2,1,12.75
03-Jan-19,Order,111-9577182-4694625,3MM-1527-2,1,12.64
03-Jan-19,Order,114-1126926-5116236,3MM-2862(3),2,21.58
03-Jan-19,Order,111-8173908-9088236,3MM-1626W(10),2,13
03-Jan-19,Order,114-8379324-4856248,3M-2863(2),1,10.4
03-Jan-19,Order,113-8305058-9465822,MDL-NON80328,1,8.03
03-Jan-19,Order,112-1974356-4429050,3M-2863(2),1,10.4
03-Jan-19,Order,112-7867879-2929825,3MM-1626W,1,17.95
03-Jan-19,Order,111-9480385-4785848,3MM-1626W(10),1,6.5
03-Jan-19,Order,111-9139964-3008233,MOL-281000,1,14.68
03-Jan-19,Order,114-0847495-8009012,3M-2863(2),1,10.4
03-Jan-19,Order,112-5349837-4093043,3M-1539,2,33.68
03-Jan-19,Order,111-6826987-6533014,3MM-1626W-25 Pack,1,10.35
03-Jan-19,Order,111-6633650-0633864,3MM-2862(3),1,10.79
03-Jan-19,Order,112-0568489-7352256,CON-187660,1,12.9
03-Jan-19,Refund,112-0245914-0039421,MCR-1577,1,-44.88
03-Jan-19,Order,114-7776233-4583429,MDL-NON80328,1,8.03
03-Jan-19,Order,111-8289429-3141065,3MM-2862(3),2,21.58
03-Jan-19,Order,112-0798086-8195445,CON-187660,10,129
03-Jan-19,Order,112-0798086-8195445,CON-187660,5,64.5
03-Jan-19,Order,112-0798086-8195445,CON-187660,6,77.4
03-Jan-19,Order,112-0798086-8195445,CON-187660,3,38.7
03-Jan-19,Order,114-1865377-7570616,SOT-140176,1,32.95
03-Jan-19,Order,111-0856700-5689051,MDL-NON80328,1,8.03
03-Jan-19,Order,112-9107617-5073849,3MM-1527-2,1,12.65
03-Jan-19,Order,112-6900232-1837845,3MM-2862(3),1,10.79
03-Jan-19,Order,113-9527905-2554600,MOL-281000,3,44.07
03-Jan-19,Order,114-8579468-1967418,MOL-1443-1,1,20.14
03-Jan-19,Order,113-1918542-0971445,3MM-2862(2),1,9.79
03-Jan-19,Order,111-1151580-3427406,SOT-132126,1,36.75
03-Jan-19,Order,112-0325339-0408251,MOL-1434,1,27.98
03-Jan-19,Order,112-0325339-0408251,MOL-1434,1,27.98
03-Jan-19,Order,112-8371952-8851451,3MM-2862(2),1,9.66
03-Jan-19,Order,113-4592893-0339423,MOL-281000,1,14.69
03-Jan-19,Order,112-7514838-9012229,3MM-1626W(10),1,6.5
03-Jan-19,Order,111-8152291-9443459,MCR-1577,1,44.88
03-Jan-19,Order,114-9974339-1129851,MCR-1577,1,44.88
03-Jan-19,Order,113-2054424-6703444,3MM-1626W(10),1,6.5
03-Jan-19,Order,112-8433466-4297858,3M-2863(2),1,10.4
03-Jan-19,Order,111-7315881-1227416,3MM-2560(100),1,13.7
03-Jan-19,Order,112-8347041-9505800,3M-2113R,1,74.99
03-Jan-19,Order,114-5045320-3609043,3M-2863(2),1,10.4
03-Jan-19,Order,113-1998434-7583404,3MM-1527-2,1,12.69
03-Jan-19,Order,111-7950819-1566620,3MM-1626W(Double Pack-1),1,33.5
03-Jan-19,Order,111-5112508-6569003,3MM-2862(3),1,10.79
03-Jan-19,Order,111-2107696-4364228,3MM-1626W(10),1,6.5
03-Jan-19,Order,111-7446938-8687446,3MM-2862(3),1,10.79
03-Jan-19,Order,111-1939374-9699400,MOL-295400,1,44.25
03-Jan-19,Order,111-1726699-3519442,3MM-2862(3),1,10.79
03-Jan-19,Order,114-6063423-2498632,3M-2113R,1,74.99
03-Jan-19,Order,114-4254307-7628217,MDL-NON80328,1,8.03
03-Jan-19,Order,111-6910526-6631412,CON-187660,1,12.9
03-Jan-19,Order,114-7905397-0165811,3M-2863(2),2,20.8
03-Jan-19,Order,114-0476543-9512228,3M-1539,1,16.68
03-Jan-19,Order,111-5347365-2683425,3MM-2862(3),1,10.79
03-Jan-19,Order,112-8880942-4506628,CON-187660-1,2,25.28
03-Jan-19,Order,113-9608655-8480252,MOL-295600,1,44
03-Jan-19,Order,111-7309286-1952236,SOT-166130,1,78.15
03-Jan-19,Order,111-7290903-6793853,SOT-166130,1,78.15
03-Jan-19,Order,112-1251442-5882666,3MM-2560(50),5,38.75
03-Jan-19,Order,111-5803012-2443464,3MM-1626W,1,17.95
03-Jan-19,FBA Inventory Fee,181217FKI,,,0
03-Jan-19,FBA Inventory Fee,181217FKI,,,0
03-Jan-19,Order,113-6306032-2146642,3MM-2862(3),1,10.79
